customer_id,segment_id,effective_date,expiration_date
C-0001,SEG-ENT,2025-01-01,
C-0002,SEG-PS,2025-01-01,
C-0003,SEG-COM,2025-01-01,
C-0004,SEG-ENT,2025-01-01,
C-0004,SEG-PCR,2025-01-01,
C-0005,SEG-PS,2025-01-01,
C-0006,SEG-COM,2025-01-01,
C-0007,SEG-ENT,2025-01-01,
C-0008,SEG-PCR,2025-01-01,
C-0008,SEG-PS,2025-01-01,
C-0009,SEG-COM,2025-01-01,
C-0010,SEG-ENT,2025-01-01,
C-0011,SEG-PS,2025-01-01,
C-0012,SEG-COM,2025-01-01,
C-0012,SEG-PCR,2025-01-01,
C-0013,SEG-ENT,2025-01-01,
C-0014,SEG-PS,2025-01-01,
C-0015,SEG-COM,2025-01-01,
C-0016,SEG-ENT,2025-01-01,
C-0016,SEG-PCR,2025-01-01,
C-0017,SEG-PS,2025-01-01,
C-0018,SEG-COM,2025-01-01,
C-0019,SEG-ENT,2025-01-01,
C-0020,SEG-PCR,2025-01-01,
C-0020,SEG-PS,2025-01-01,
C-0021,SEG-COM,2025-01-01,
C-0022,SEG-ENT,2025-01-01,
C-0022,SEG-PS,2025-01-01,
C-0023,SEG-PS,2025-01-01,
C-0024,SEG-COM,2025-01-01,
C-0024,SEG-PCR,2025-01-01,
C-0025,SEG-ENT,2025-01-01,
C-0026,SEG-PS,2025-01-01,
C-0027,SEG-COM,2025-01-01,
C-0028,SEG-ENT,2025-01-01,
C-0028,SEG-PCR,2025-01-01,
C-0029,SEG-PS,2025-01-01,
C-0030,SEG-COM,2025-01-01,
C-0031,SEG-ENT,2025-01-01,
C-0032,SEG-PCR,2025-01-01,
C-0032,SEG-PS,2025-01-01,
C-0033,SEG-COM,2025-01-01,
C-0033,SEG-PS,2025-01-01,
C-0034,SEG-ENT,2025-01-01,
C-0035,SEG-PS,2025-01-01,
C-0036,SEG-COM,2025-01-01,
C-0036,SEG-PCR,2025-01-01,
C-0037,SEG-ENT,2025-01-01,
C-0038,SEG-PS,2025-01-01,
C-0039,SEG-COM,2025-01-01,
C-0040,SEG-ENT,2025-01-01,
C-0040,SEG-PCR,2025-01-01,
C-0041,SEG-PS,2025-01-01,
C-0042,SEG-COM,2025-01-01,
C-0043,SEG-ENT,2025-01-01,
C-0044,SEG-PCR,2025-01-01,
C-0044,SEG-PS,2025-01-01,
C-0045,SEG-COM,2025-01-01,
C-0046,SEG-ENT,2025-01-01,
C-0047,SEG-PS,2025-01-01,
C-0048,SEG-COM,2025-01-01,
C-0048,SEG-PCR,2025-01-01,
C-0049,SEG-ENT,2025-01-01,
C-0050,SEG-PS,2025-01-01,
C-0051,SEG-COM,2025-01-01,
C-0052,SEG-ENT,2025-01-01,
C-0052,SEG-PCR,2025-01-01,
C-0053,SEG-PS,2025-01-01,
C-0054,SEG-COM,2025-01-01,
C-0055,SEG-ENT,2025-01-01,
C-0055,SEG-PS,2025-01-01,
C-0056,SEG-PCR,2025-01-01,
C-0056,SEG-PS,2025-01-01,
C-0057,SEG-COM,2025-01-01,
C-0058,SEG-ENT,2025-01-01,
C-0059,SEG-PS,2025-01-01,
C-0060,SEG-COM,2025-01-01,
C-0060,SEG-PCR,2025-01-01,
C-0061,SEG-ENT,2025-01-01,
C-0062,SEG-PS,2025-01-01,
C-0063,SEG-COM,2025-01-01,
C-0064,SEG-ENT,2025-01-01,
C-0064,SEG-PCR,2025-01-01,
C-0065,SEG-PS,2025-01-01,
C-0066,SEG-COM,2025-01-01,
C-0066,SEG-PS,2025-01-01,
C-0067,SEG-ENT,2025-01-01,
C-0068,SEG-PCR,2025-01-01,
C-0068,SEG-PS,2025-01-01,
C-0069,SEG-COM,2025-01-01,
C-0070,SEG-ENT,2025-01-01,
C-0071,SEG-PS,2025-01-01,
C-0072,SEG-COM,2025-01-01,
C-0072,SEG-PCR,2025-01-01,
C-0073,SEG-ENT,2025-01-01,
C-0074,SEG-PS,2025-01-01,
C-0075,SEG-COM,2025-01-01,
C-0076,SEG-ENT,2025-01-01,
C-0076,SEG-PCR,2025-01-01,
C-0077,SEG-PS,2025-01-01,
C-0078,SEG-COM,2025-01-01,
C-0079,SEG-ENT,2025-01-01,
C-0080,SEG-PCR,2025-01-01,
C-0080,SEG-PS,2025-01-01,
C-0081,SEG-COM,2025-01-01,
C-0082,SEG-ENT,2025-01-01,
C-0083,SEG-PS,2025-01-01,
C-0084,SEG-COM,2025-01-01,
C-0084,SEG-PCR,2025-01-01,
C-0085,SEG-ENT,2025-01-01,
C-0086,SEG-PS,2025-01-01,
C-0087,SEG-COM,2025-01-01,
C-0088,SEG-ENT,2025-01-01,
C-0088,SEG-PCR,2025-01-01,
C-0088,SEG-PS,2025-01-01,
C-0089,SEG-PS,2025-01-01,
C-0090,SEG-COM,2025-01-01,
C-0091,SEG-ENT,2025-01-01,
C-0092,SEG-PCR,2025-01-01,
C-0092,SEG-PS,2025-01-01,
C-0093,SEG-COM,2025-01-01,
C-0094,SEG-ENT,2025-01-01,
C-0095,SEG-PS,2025-01-01,
C-0096,SEG-COM,2025-01-01,
C-0096,SEG-PCR,2025-01-01,
C-0097,SEG-ENT,2025-01-01,
C-0098,SEG-PS,2025-01-01,
C-0099,SEG-COM,2025-01-01,
C-0099,SEG-PS,2025-01-01,
C-0100,SEG-ENT,2025-01-01,
C-0100,SEG-PCR,2025-01-01,
C-0101,SEG-PS,2025-01-01,
C-0102,SEG-COM,2025-01-01,
C-0103,SEG-ENT,2025-01-01,
C-0104,SEG-PCR,2025-01-01,
C-0104,SEG-PS,2025-01-01,
C-0105,SEG-COM,2025-01-01,
C-0106,SEG-ENT,2025-01-01,
C-0107,SEG-PS,2025-01-01,
C-0108,SEG-COM,2025-01-01,
C-0108,SEG-PCR,2025-01-01,
C-0109,SEG-ENT,2025-01-01,
C-0110,SEG-PS,2025-01-01,
C-0111,SEG-COM,2025-01-01,
C-0112,SEG-ENT,2025-01-01,
C-0112,SEG-PCR,2025-01-01,
C-0113,SEG-PS,2025-01-01,
C-0114,SEG-COM,2025-01-01,
C-0115,SEG-ENT,2025-01-01,
C-0116,SEG-PCR,2025-01-01,
C-0116,SEG-PS,2025-01-01,
C-0117,SEG-COM,2025-01-01,
C-0118,SEG-ENT,2025-01-01,
C-0119,SEG-PS,2025-01-01,
C-0120,SEG-COM,2025-01-01,
C-0120,SEG-PCR,2025-01-01,
