customer_id,customer_name,region,country_code
C-0001,Demo Organization 0001,North America,US
C-0002,Demo Organization 0002,North America,CA
C-0003,Demo Organization 0003,Europe,DE
C-0004,Demo Organization 0004,Europe,FR
C-0005,Demo Organization 0005,Europe,GB
C-0006,Demo Organization 0006,Europe,NL
C-0007,Demo Organization 0007,North America,US
C-0008,Demo Organization 0008,North America,CA
C-0009,Demo Organization 0009,Europe,DE
C-0010,Demo Organization 0010,Europe,FR
C-0011,Demo Organization 0011,Europe,GB
C-0012,Demo Organization 0012,Europe,NL
C-0013,Demo Organization 0013,North America,US
C-0014,Demo Organization 0014,North America,CA
C-0015,Demo Organization 0015,Europe,DE
C-0016,Demo Organization 0016,Europe,FR
C-0017,Demo Organization 0017,Europe,GB
C-0018,Demo Organization 0018,Europe,NL
C-0019,Demo Organization 0019,North America,US
C-0020,Demo Organization 0020,North America,CA
C-0021,Demo Organization 0021,Europe,DE
C-0022,Demo Organization 0022,Europe,FR
C-0023,Demo Organization 0023,Europe,GB
C-0024,Demo Organization 0024,Europe,NL
C-0025,Demo Organization 0025,North America,US
C-0026,Demo Organization 0026,North America,CA
C-0027,Demo Organization 0027,Europe,DE
C-0028,Demo Organization 0028,Europe,FR
C-0029,Demo Organization 0029,Europe,GB
C-0030,Demo Organization 0030,Europe,NL
C-0031,Demo Organization 0031,North America,US
C-0032,Demo Organization 0032,North America,CA
C-0033,Demo Organization 0033,Europe,DE
C-0034,Demo Organization 0034,Europe,FR
C-0035,Demo Organization 0035,Europe,GB
C-0036,Demo Organization 0036,Europe,NL
C-0037,Demo Organization 0037,North America,US
C-0038,Demo Organization 0038,North America,CA
C-0039,Demo Organization 0039,Europe,DE
C-0040,Demo Organization 0040,Europe,FR
C-0041,Demo Organization 0041,Europe,GB
C-0042,Demo Organization 0042,Europe,NL
C-0043,Demo Organization 0043,North America,US
C-0044,Demo Organization 0044,North America,CA
C-0045,Demo Organization 0045,Europe,DE
C-0046,Demo Organization 0046,Europe,FR
C-0047,Demo Organization 0047,Europe,GB
C-0048,Demo Organization 0048,Europe,NL
C-0049,Demo Organization 0049,North America,US
C-0050,Demo Organization 0050,North America,CA
C-0051,Demo Organization 0051,Europe,DE
C-0052,Demo Organization 0052,Europe,FR
C-0053,Demo Organization 0053,Europe,GB
C-0054,Demo Organization 0054,Europe,NL
C-0055,Demo Organization 0055,North America,US
C-0056,Demo Organization 0056,North America,CA
C-0057,Demo Organization 0057,Europe,DE
C-0058,Demo Organization 0058,Europe,FR
C-0059,Demo Organization 0059,Europe,GB
C-0060,Demo Organization 0060,Europe,NL
C-0061,Demo Organization 0061,North America,US
C-0062,Demo Organization 0062,North America,CA
C-0063,Demo Organization 0063,Europe,DE
C-0064,Demo Organization 0064,Europe,FR
C-0065,Demo Organization 0065,Europe,GB
C-0066,Demo Organization 0066,Europe,NL
C-0067,Demo Organization 0067,North America,US
C-0068,Demo Organization 0068,North America,CA
C-0069,Demo Organization 0069,Europe,DE
C-0070,Demo Organization 0070,Europe,FR
C-0071,Demo Organization 0071,Europe,GB
C-0072,Demo Organization 0072,Europe,NL
C-0073,Demo Organization 0073,North America,US
C-0074,Demo Organization 0074,North America,CA
C-0075,Demo Organization 0075,Europe,DE
C-0076,Demo Organization 0076,Europe,FR
C-0077,Demo Organization 0077,Europe,GB
C-0078,Demo Organization 0078,Europe,NL
C-0079,Demo Organization 0079,North America,US
C-0080,Demo Organization 0080,North America,CA
C-0081,Demo Organization 0081,Europe,DE
C-0082,Demo Organization 0082,Europe,FR
C-0083,Demo Organization 0083,Europe,GB
C-0084,Demo Organization 0084,Europe,NL
C-0085,Demo Organization 0085,North America,US
C-0086,Demo Organization 0086,North America,CA
C-0087,Demo Organization 0087,Europe,DE
C-0088,Demo Organization 0088,Europe,FR
C-0089,Demo Organization 0089,Europe,GB
C-0090,Demo Organization 0090,Europe,NL
C-0091,Demo Organization 0091,North America,US
C-0092,Demo Organization 0092,North America,CA
C-0093,Demo Organization 0093,Europe,DE
C-0094,Demo Organization 0094,Europe,FR
C-0095,Demo Organization 0095,Europe,GB
C-0096,Demo Organization 0096,Europe,NL
C-0097,Demo Organization 0097,North America,US
C-0098,Demo Organization 0098,North America,CA
C-0099,Demo Organization 0099,Europe,DE
C-0100,Demo Organization 0100,Europe,FR
C-0101,Demo Organization 0101,Europe,GB
C-0102,Demo Organization 0102,Europe,NL
C-0103,Demo Organization 0103,North America,US
C-0104,Demo Organization 0104,North America,CA
C-0105,Demo Organization 0105,Europe,DE
C-0106,Demo Organization 0106,Europe,FR
C-0107,Demo Organization 0107,Europe,GB
C-0108,Demo Organization 0108,Europe,NL
C-0109,Demo Organization 0109,North America,US
C-0110,Demo Organization 0110,North America,CA
C-0111,Demo Organization 0111,Europe,DE
C-0112,Demo Organization 0112,Europe,FR
C-0113,Demo Organization 0113,Europe,GB
C-0114,Demo Organization 0114,Europe,NL
C-0115,Demo Organization 0115,North America,US
C-0116,Demo Organization 0116,North America,CA
C-0117,Demo Organization 0117,Europe,DE
C-0118,Demo Organization 0118,Europe,FR
C-0119,Demo Organization 0119,Europe,GB
C-0120,Demo Organization 0120,Europe,NL
