order_line_id,order_id,product_id,quantity,unit_price,discount_pct
OL-0000001,O-000001,P-210,2,960.00,0.00
OL-0000002,O-000001,P-210,1,931.20,0.03
OL-0000003,O-000001,P-110,5,1282.50,0.10
OL-0000004,O-000002,P-310,6,185.00,0.00
OL-0000005,O-000002,P-110,2,1425.00,0.00
OL-0000006,O-000002,P-300,3,3200.00,0.00
OL-0000007,O-000003,P-210,7,912.00,0.05
OL-0000008,O-000004,P-310,7,175.75,0.05
OL-0000009,O-000005,P-300,1,3104.00,0.03
OL-0000010,O-000005,P-100,2,800.25,0.03
OL-0000011,O-000006,P-300,8,3040.00,0.05
OL-0000012,O-000006,P-100,6,800.25,0.03
OL-0000013,O-000007,P-200,1,4860.00,0.10
OL-0000014,O-000007,P-200,8,5130.00,0.05
OL-0000015,O-000008,P-100,8,800.25,0.03
OL-0000016,O-000008,P-110,3,1353.75,0.05
OL-0000017,O-000009,P-310,7,179.45,0.03
OL-0000018,O-000009,P-200,4,4860.00,0.10
OL-0000019,O-000009,P-210,4,931.20,0.03
OL-0000020,O-000009,P-300,3,3200.00,0.00
OL-0000021,O-000010,P-210,2,864.00,0.10
OL-0000022,O-000010,P-200,6,4860.00,0.10
OL-0000023,O-000010,P-310,4,179.45,0.03
OL-0000024,O-000011,P-100,4,800.25,0.03
OL-0000025,O-000011,P-100,6,742.50,0.10
OL-0000026,O-000011,P-200,7,5130.00,0.05
OL-0000027,O-000012,P-100,1,742.50,0.10
OL-0000028,O-000012,P-110,6,1353.75,0.05
OL-0000029,O-000012,P-110,2,1353.75,0.05
OL-0000030,O-000012,P-110,6,1425.00,0.00
OL-0000031,O-000013,P-100,7,742.50,0.10
OL-0000032,O-000014,P-310,6,166.50,0.10
OL-0000033,O-000014,P-310,6,166.50,0.10
OL-0000034,O-000014,P-100,4,825.00,0.00
OL-0000035,O-000015,P-100,5,825.00,0.00
OL-0000036,O-000016,P-200,6,4860.00,0.10
OL-0000037,O-000016,P-300,8,3104.00,0.03
OL-0000038,O-000016,P-100,2,800.25,0.03
OL-0000039,O-000017,P-200,3,5130.00,0.05
OL-0000040,O-000017,P-210,1,931.20,0.03
OL-0000041,O-000017,P-300,7,2880.00,0.10
OL-0000042,O-000017,P-310,8,185.00,0.00
OL-0000043,O-000018,P-210,8,912.00,0.05
OL-0000044,O-000019,P-310,3,179.45,0.03
OL-0000045,O-000019,P-210,8,960.00,0.00
OL-0000046,O-000019,P-100,7,783.75,0.05
OL-0000047,O-000020,P-110,6,1353.75,0.05
OL-0000048,O-000020,P-310,7,175.75,0.05
OL-0000049,O-000020,P-210,1,864.00,0.10
OL-0000050,O-000020,P-310,8,175.75,0.05
OL-0000051,O-000021,P-300,7,2880.00,0.10
OL-0000052,O-000022,P-110,6,1353.75,0.05
OL-0000053,O-000023,P-210,5,912.00,0.05
OL-0000054,O-000023,P-200,2,5130.00,0.05
OL-0000055,O-000023,P-300,5,2880.00,0.10
OL-0000056,O-000023,P-110,7,1382.25,0.03
OL-0000057,O-000024,P-210,1,912.00,0.05
OL-0000058,O-000024,P-110,7,1282.50,0.10
OL-0000059,O-000024,P-310,5,166.50,0.10
OL-0000060,O-000025,P-310,7,179.45,0.03
OL-0000061,O-000025,P-300,7,3200.00,0.00
OL-0000062,O-000025,P-300,3,3040.00,0.05
OL-0000063,O-000025,P-300,2,3040.00,0.05
OL-0000064,O-000026,P-300,1,3200.00,0.00
OL-0000065,O-000026,P-110,4,1382.25,0.03
OL-0000066,O-000027,P-200,3,4860.00,0.10
OL-0000067,O-000028,P-210,3,912.00,0.05
OL-0000068,O-000028,P-210,2,864.00,0.10
OL-0000069,O-000029,P-300,1,3040.00,0.05
OL-0000070,O-000030,P-200,7,4860.00,0.10
OL-0000071,O-000030,P-210,5,912.00,0.05
OL-0000072,O-000031,P-100,6,800.25,0.03
OL-0000073,O-000032,P-100,2,825.00,0.00
OL-0000074,O-000033,P-100,4,742.50,0.10
OL-0000075,O-000033,P-100,8,742.50,0.10
OL-0000076,O-000034,P-110,1,1353.75,0.05
OL-0000077,O-000034,P-110,7,1382.25,0.03
OL-0000078,O-000034,P-100,4,825.00,0.00
OL-0000079,O-000034,P-300,7,2880.00,0.10
OL-0000080,O-000035,P-100,3,825.00,0.00
OL-0000081,O-000035,P-100,8,742.50,0.10
OL-0000082,O-000036,P-100,1,783.75,0.05
OL-0000083,O-000036,P-100,5,800.25,0.03
OL-0000084,O-000036,P-300,8,3040.00,0.05
OL-0000085,O-000036,P-210,8,864.00,0.10
OL-0000086,O-000037,P-110,7,1282.50,0.10
OL-0000087,O-000038,P-110,3,1353.75,0.05
OL-0000088,O-000039,P-300,2,2880.00,0.10
OL-0000089,O-000039,P-110,1,1382.25,0.03
OL-0000090,O-000039,P-110,5,1282.50,0.10
OL-0000091,O-000040,P-310,5,179.45,0.03
OL-0000092,O-000040,P-310,6,179.45,0.03
OL-0000093,O-000041,P-110,7,1382.25,0.03
OL-0000094,O-000041,P-110,2,1282.50,0.10
OL-0000095,O-000041,P-100,1,800.25,0.03
OL-0000096,O-000041,P-210,7,912.00,0.05
OL-0000097,O-000042,P-210,7,960.00,0.00
OL-0000098,O-000043,P-310,2,175.75,0.05
OL-0000099,O-000044,P-200,5,4860.00,0.10
OL-0000100,O-000045,P-210,1,960.00,0.00
OL-0000101,O-000045,P-100,7,825.00,0.00
OL-0000102,O-000046,P-200,8,5238.00,0.03
OL-0000103,O-000046,P-200,4,5130.00,0.05
OL-0000104,O-000046,P-110,7,1282.50,0.10
OL-0000105,O-000046,P-100,8,800.25,0.03
OL-0000106,O-000047,P-200,1,5238.00,0.03
OL-0000107,O-000047,P-300,5,2880.00,0.10
OL-0000108,O-000047,P-210,6,960.00,0.00
OL-0000109,O-000047,P-310,8,185.00,0.00
OL-0000110,O-000048,P-100,5,800.25,0.03
OL-0000111,O-000048,P-310,8,166.50,0.10
OL-0000112,O-000048,P-310,2,185.00,0.00
OL-0000113,O-000049,P-100,6,742.50,0.10
OL-0000114,O-000049,P-310,1,175.75,0.05
OL-0000115,O-000049,P-200,3,5238.00,0.03
OL-0000116,O-000050,P-210,6,912.00,0.05
OL-0000117,O-000050,P-310,1,179.45,0.03
OL-0000118,O-000051,P-200,7,5400.00,0.00
OL-0000119,O-000051,P-200,6,5238.00,0.03
OL-0000120,O-000051,P-210,3,931.20,0.03
OL-0000121,O-000051,P-200,8,5400.00,0.00
