order_id,customer_id,order_date,ship_date,sales_region,order_status
O-000001,C-0087,2025-04-27,2025-05-09,Europe,Delivered
O-000002,C-0066,2025-02-18,2025-02-20,Europe,Shipped
O-000003,C-0037,2025-08-30,2025-08-31,North America,Shipped
O-000004,C-0009,2025-11-19,2025-11-29,Europe,Shipped
O-000005,C-0016,2025-01-08,2025-01-14,Europe,Shipped
O-000006,C-0108,2025-07-06,2025-07-08,Europe,Shipped
O-000007,C-0014,2025-06-18,2025-06-27,North America,Shipped
O-000008,C-0012,2025-07-25,2025-08-08,Europe,Shipped
O-000009,C-0084,2025-08-02,2025-08-07,Europe,Shipped
O-000010,C-0077,2025-07-10,2025-07-11,Europe,Shipped
O-000011,C-0015,2025-02-04,2025-02-16,Europe,Delivered
O-000012,C-0041,2025-07-26,2025-08-06,Europe,Shipped
O-000013,C-0051,2025-10-28,2025-10-31,Europe,Shipped
O-000014,C-0044,2025-11-17,2025-11-28,North America,Shipped
O-000015,C-0058,2025-12-03,2025-12-10,Europe,Shipped
O-000016,C-0119,2025-10-26,2025-11-02,Europe,Delivered
O-000017,C-0053,2025-05-19,2025-05-26,Europe,Shipped
O-000018,C-0021,2025-08-25,2025-09-07,Europe,Shipped
O-000019,C-0113,2025-06-25,2025-07-03,Europe,Shipped
O-000020,C-0103,2025-01-26,2025-02-01,North America,Shipped
O-000021,C-0074,2025-11-21,2025-12-03,North America,Delivered
O-000022,C-0074,2025-07-22,2025-07-28,North America,Delivered
O-000023,C-0027,2025-12-30,2026-01-06,Europe,Delivered
O-000024,C-0067,2025-10-21,2025-10-28,North America,Shipped
O-000025,C-0098,2025-12-05,2025-12-17,North America,Delivered
O-000026,C-0080,2025-03-12,2025-03-24,North America,Shipped
O-000027,C-0069,2025-03-10,2025-03-13,Europe,Shipped
O-000028,C-0073,2025-11-27,2025-12-01,North America,Delivered
O-000029,C-0002,2025-12-04,2025-12-15,North America,Delivered
O-000030,C-0039,2025-06-26,2025-07-05,Europe,Shipped
O-000031,C-0076,2025-02-08,2025-02-16,Europe,Shipped
O-000032,C-0062,2025-01-01,2025-01-05,North America,Delivered
O-000033,C-0007,2025-02-05,2025-02-14,North America,Shipped
O-000034,C-0003,2025-04-25,2025-04-26,Europe,Delivered
O-000035,C-0036,2025-12-03,2025-12-08,Europe,Delivered
O-000036,C-0044,2025-12-21,2025-12-26,North America,Delivered
O-000037,C-0066,2025-11-28,2025-12-03,Europe,Shipped
O-000038,C-0031,2025-01-17,2025-01-30,North America,Shipped
O-000039,C-0014,2025-07-25,2025-07-30,North America,Delivered
O-000040,C-0052,2025-09-06,2025-09-11,Europe,Shipped
O-000041,C-0098,2025-08-05,2025-08-12,North America,Shipped
O-000042,C-0054,2025-03-22,2025-03-27,Europe,Delivered
O-000043,C-0019,2025-03-25,2025-04-04,North America,Shipped
O-000044,C-0007,2025-09-30,2025-10-03,North America,Delivered
O-000045,C-0029,2025-09-05,2025-09-16,Europe,Shipped
O-000046,C-0048,2025-08-22,2025-09-04,Europe,Shipped
O-000047,C-0120,2025-11-08,2025-11-18,Europe,Shipped
O-000048,C-0098,2025-12-12,2025-12-14,North America,Shipped
O-000049,C-0006,2025-04-24,2025-04-26,Europe,Shipped
O-000050,C-0050,2025-05-21,2025-05-22,North America,Delivered
O-000051,C-0115,2025-03-20,2025-03-21,North America,Delivered
O-000052,C-0113,2025-06-20,2025-06-25,Europe,Shipped
O-000053,C-0016,2025-09-16,2025-09-23,Europe,Delivered
O-000054,C-0044,2025-05-07,2025-05-19,North America,Shipped
O-000055,C-0120,2025-08-21,2025-08-30,Europe,Shipped
O-000056,C-0060,2025-11-28,2025-12-04,Europe,Delivered
O-000057,C-0013,2025-05-15,2025-05-23,North America,Shipped
O-000058,C-0004,2025-02-23,2025-03-06,Europe,Shipped
O-000059,C-0045,2025-12-10,2025-12-23,Europe,Shipped
O-000060,C-0109,2025-06-30,2025-07-01,North America,Delivered
O-000061,C-0105,2025-09-01,2025-09-03,Europe,Shipped
O-000062,C-0058,2025-05-15,2025-05-25,Europe,Delivered
O-000063,C-0081,2025-02-19,2025-03-02,Europe,Shipped
O-000064,C-0046,2025-06-02,2025-06-04,Europe,Shipped
O-000065,C-0029,2025-05-15,2025-05-27,Europe,Shipped
O-000066,C-0023,2025-12-21,2025-12-29,Europe,Shipped
O-000067,C-0033,2025-10-22,2025-10-31,Europe,Delivered
O-000068,C-0035,2025-02-22,2025-03-06,Europe,Delivered
O-000069,C-0016,2025-09-10,2025-09-24,Europe,Shipped
